epochs,nZ,lambda_4,learning_rate,score
10,2,0.0001,0.0001,1.73181716898
10,2,0.0001,0.001,1.18942309096
10,2,0.0001,0.01,0.963862033249
10,2,0.0001,0.1,0.976656624514
10,2,0.001,0.0001,1.72972249772
10,2,0.001,0.001,1.18228111949
10,2,0.001,0.01,0.963980400351
10,2,0.001,0.1,0.976870652558
10,2,0.01,0.0001,1.70425833265
10,2,0.01,0.001,1.17318247057
10,2,0.01,0.01,0.962219371313
10,2,0.01,0.1,0.974904445274
10,2,0.1,0.0001,1.70568996849
10,2,0.1,0.001,1.16815373636
10,2,0.1,0.01,0.957626934025
10,2,0.1,0.1,0.960357291519
10,5,0.0001,0.0001,1.85439335748
10,5,0.0001,0.001,1.22841386516
10,5,0.0001,0.01,0.98979922786
10,5,0.0001,0.1,1.00678477098
10,5,0.001,0.0001,1.88556390815
10,5,0.001,0.001,1.23187748974
10,5,0.001,0.01,0.98665915978
10,5,0.001,0.1,1.00570692677
10,5,0.01,0.0001,1.86219200182
10,5,0.01,0.001,1.23279554905
10,5,0.01,0.01,0.988396699508
10,5,0.01,0.1,0.997649567328
10,5,0.1,0.0001,1.85579601032
10,5,0.1,0.001,1.20188468305
10,5,0.1,0.01,0.962789932183
10,5,0.1,0.1,0.958121721778
10,10,0.0001,0.0001,2.11771487755
10,10,0.0001,0.001,1.33001908489
10,10,0.0001,0.01,1.03364475204
10,10,0.0001,0.1,1.0624190566
10,10,0.001,0.0001,2.15431282863
10,10,0.001,0.001,1.3296950029
10,10,0.001,0.01,1.03112041281
10,10,0.001,0.1,1.05458679361
10,10,0.01,0.0001,2.12379916004
10,10,0.01,0.001,1.31470003593
10,10,0.01,0.01,1.02007528896
10,10,0.01,0.1,1.03967780732
10,10,0.1,0.0001,2.11276823249
10,10,0.1,0.001,1.27438702158
10,10,0.1,0.01,0.973836312851
10,10,0.1,0.1,0.956698624604
10,20,0.0001,0.0001,2.62302974761
10,20,0.0001,0.001,1.54057477844
10,20,0.0001,0.01,1.12703684645
10,20,0.0001,0.1,1.13711687731
10,20,0.001,0.0001,2.64409764378
10,20,0.001,0.001,1.53071389386
10,20,0.001,0.01,1.12820731573
10,20,0.001,0.1,1.13787875143
10,20,0.01,0.0001,2.64122814525
10,20,0.01,0.001,1.51985229291
10,20,0.01,0.01,1.10713817667
10,20,0.01,0.1,1.09639533272
10,20,0.1,0.0001,2.56813001209
10,20,0.1,0.001,1.43995737508
10,20,0.1,0.01,0.995938605274
10,20,0.1,0.1,0.954120114518
10,50,0.0001,0.0001,3.83416520352
10,50,0.0001,0.001,2.12693631672
10,50,0.0001,0.01,1.49676251376
10,50,0.0001,0.1,-20.0
10,50,0.001,0.0001,3.86991566609
10,50,0.001,0.001,2.10671897175
10,50,0.001,0.01,1.49481999386
10,50,0.001,0.1,-20.0
10,50,0.01,0.0001,3.85937438182
10,50,0.01,0.001,2.08736043903
10,50,0.01,0.01,1.42501778209
10,50,0.01,0.1,-20.0
10,50,0.1,0.0001,3.77648019553
10,50,0.1,0.001,1.90518870734
10,50,0.1,0.01,1.08674244138
10,50,0.1,0.1,-20.0
10,100,0.0001,0.0001,5.28785874846
10,100,0.0001,0.001,2.99704452917
10,100,0.0001,0.01,2.22794192255
10,100,0.0001,0.1,-20.0
10,100,0.001,0.0001,5.31346491221
10,100,0.001,0.001,2.98025172193
10,100,0.001,0.01,2.19534328086
10,100,0.001,0.1,-20.0
10,100,0.01,0.0001,5.2644120882
10,100,0.01,0.001,2.96252242267
10,100,0.01,0.01,2.02856312928
10,100,0.01,0.1,-20.0
10,100,0.1,0.0001,5.21030040092
10,100,0.1,0.001,2.63524223907
10,100,0.1,0.01,1.28003631789
10,100,0.1,0.1,-20.0
10,200,0.0001,0.0001,7.40361649035
10,200,0.0001,0.001,4.67476383739
10,200,0.0001,0.01,3.04838223885
10,200,0.0001,0.1,-20.0
10,200,0.001,0.0001,7.43331937144
10,200,0.001,0.001,4.70654205337
10,200,0.001,0.01,3.01992914792
10,200,0.001,0.1,-20.0
10,200,0.01,0.0001,7.46484450156
10,200,0.01,0.001,4.60657089475
10,200,0.01,0.01,2.77060153162
10,200,0.01,0.1,-20.0
10,200,0.1,0.0001,7.36445821777
10,200,0.1,0.001,4.03010665868
10,200,0.1,0.01,1.6332205103
10,200,0.1,0.1,-20.0
